;Alin hyväksytty pistemäärä;Ylin hyväksytty pistemäärä
Sosionomi (AMK), monimuotototeutus;66,00;387,00
Sosionomi (AMK), päivätoteutus;89,00;405,33
Sosionomi (AMK), varhaiskasvatus, verkkopainotteinen monimuotototeutus, lähiopetus Varkaudessa;71,50;92,60
Sosionomi (AMK), verkkototeutus;82,00;411,72
Terveydenhoitaja (AMK), Monimuotototeutus;59,00;413,46
Tulkki (AMK), Asioimistulkkaus, monimuotototeutus;63,00;98,00
Tulkki (AMK), Viittomakielen ja puhevammaisten tulkkaus, monimuotototeutus;61,50;95,25
Haaga-Helia ammattikorkeakoulu;;
Bachelor of Business Administration, Aviation Business, Porvoo, Finland;19,75;145,00
Bachelor of Business Administration, Business Information Technology, full-time studies, Helsinki, Finland;37,40;189,00
Bachelor of Business Administration, Digital Business Innovations, Porvoo, Finland;15,10;156,00
Bachelor of Business Administration, International Business, blended learning, Helsinki, Finland;21,75;71,90
Bachelor of Business Administration, International Business, full-time studies, Helsinki, Finland;27,00;179,00
Bachelor of Hospitality Management, Hospitality and Tourism Experience Management, full-time studies, Helsinki, Finland;36,75;182,00
Bachelor of Hospitality Management, Sustainable Tourism and Event Management, full-time studies, Porvoo, Finland;24,80;182,00
Bachelor of Sport Studies, Sports Coaching and Management, full-time studies, Vierumäki, Finland;40,00;70,00
Double Degree Studies: Master of Business Administration, Business Technologies and Management, Finland and Austria;76,00;89,50
Liikunnanohjaaja (AMK),  monimuotototeutus, Tampere;126,00;399,15
Liikunnanohjaaja (AMK),  päivätoteutus, Heinola;80,00;360,46
Liikunnanohjaaja (ylempi AMK), liikunta-ala, Helsinki;63,00;100,00
Master of Business Administration, Business Technologies, Helsinki, Finland;58,00;83,50
Master of Business Administration, Leading Business Transformation, Helsinki, Finland;59,50;86,50
Master of Business Administration, Strategising in Organisations, virtual studies;61,50;86,50
Master of Business Administration, Sustainable Aviation Business, virtual studies;43,50;92,50
Master of Hospitality Management, Tourism and Hospitality Business, Helsinki, Finland;30,50;70,00
Medianomi (AMK), journalismi, päivätoteutus, Helsinki;53,00;190,00
Medianomi (ylempi AMK), journalismi, Helsinki;69,50;91,00
Restonomi (AMK), majoitus- ja ravintolaliiketoiminta, monimuotototeutus, Helsinki;89,00;239,78
Restonomi (AMK), majoitus-, ravintola- ja matkailuliiketoiminta, päivätoteutus, Helsinki;63,00;211,52
Restonomi (AMK), matkailu- ja tapahtuma-ala, monimuotototeutus, Porvoo;69,00;201,72
Restonomi (AMK), matkailu- ja tapahtuma-ala, päivätoteutus, Porvoo;38,00;201,84
Restonomi (AMK), ruokatuotannon johtaminen, monimuotototeutus, Helsinki;64,00;143,00
Restonomi (AMK), ruokatuotannon johtaminen, päivätoteutus, Helsinki;34,00;176,23
Restonomi (ylempi AMK), palveluliiketoiminnan johtaminen ja kehittäminen, Helsinki;51,50;82,00
Tradenomi (AMK), liiketalous Helsinki, monimuotototeutus;118,00;271,59
Tradenomi (AMK), liiketalous Helsinki, päivätoteutus;91,00;251,97
Tradenomi (AMK), liiketalous Porvoo, monimuotototeutus;98,00;240,52
Tradenomi (AMK), liiketalous Porvoo, päivätoteutus;79,00;203,47
Tradenomi (AMK), tietojenkäsittely, monimuotototeutus, Helsinki;83,00;295,00
Tradenomi (AMK), tietojenkäsittely, päivätoteutus, Helsinki;81,00;271,48
Tradenomi (ylempi AMK), liiketoiminnan teknologiat, Helsinki;56,50;84,00
Tradenomi (ylempi AMK), liiketoiminnan uudistaminen ja johtaminen, Helsinki;61,50;94,50
Tradenomi (ylempi AMK), strategiatyö organisaatioissa, Helsinki;59,50;88,50
Helsingin yliopisto;;
Allmän och vuxenpedagogik (undervisning på svenska), pedagogie kandidat och magister (3 år + 2 år);34,40;110,50
Biologian kandiohjelma (suomen kielen taitoisille hakijoille), luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);128,50;166,70
Elintarviketieteiden kandiohjelma, elintarviketieteiden kandidaatti ja maisteri (3 v + 2 v);20,50;150,70
Eläinlääketieteen kandiohjelma, eläinlääketieteen kandidaatti ja lisensiaatti (3 v + 3 v);125,15;188,60
