;Alin hyväksytty pistemäärä;Ylin hyväksytty pistemäärä
Artificial Intelligence, Master of Science (2 yrs);?;?
Avoimen väylä, koulutusteknologian kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);?;?
Avoimen väylä, tietojärjestelmätieteen kandidaatti- ja maisteriohjelma, kauppatieteiden kandidaatti ja maisteri (3 v + 2 v);?;?
Avoimen väylä, tietotekniikan kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);?;?
Avoimen väylä, varhaiskasvatuksen opettajan kandidaattiohjelma (Kokkolan yliopistokeskus Chydenius), kasvatustieteen kandidaatti (3 v);30,00;67,00
Banking and International Finance, Master of Science in Economics and Business Administration (2 yrs);?;?
Biologian kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);110,50;152,90
Biological and Environmental Science, Master of Science (2 yrs);?;?
Biology of Physical Activity, Master of Sport Sciences (2 yrs);?;?
Chemistry and Analytics for Circular Economy (CACE), Master of Science (2 yrs);?;?
Development, Education and International Cooperation, Master of Social Sciences/Master of Arts (Education) (2 yrs);?;?
Digital Marketing and Corporate Communication, Master of Science in Economics and Business Administration (2 yrs);?;?
Educational Sciences, Master of Arts (Education) (2 yrs);?;?
Erityispedagogiikan kandidaatti- ja maisteriohjelma (erityisopettaja ja erityisluokanopettaja), kasvatustieteen kandidaatti ja maisteri (3 v + 2 v);72,00;94,00
Fysiikan aineenopettajan kandidaatti - ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 + 2 v);39,00;129,50
Fysiikan kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);1,00;135,00
High-Performance Computing, Master of Science (2 yrs);?;?
Historian kandidaatti- ja maisteriohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);50,63;142,10
Information Systems, Master of Science in Economics and Business Administration (2 yrs);?;?
International Business and Entrepreneurship, Master of Science in Economics and Business Administration (2 yrs);?;?
Journalistiikan kandidaatti- ja maisteriohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);52,00;139,20
Kasvatustieteen ja aikuiskasvatustieteen kandidaatti- ja maisteriohjelma, kasvatustieteen kandidaatti ja maisteri (3 v + 2 v);5,00;95,21
Kauppatieteiden kandidaatti- ja maisteriohjelma, kauppatieteiden kandidaatti ja maisteri (3 v + 2 v) (Kauppatieteellisen alan yhteisvalinta);23,45;124,50
Kemian tai kemian aineenopettajan kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);1,00;120,60
Kieliasiantuntijan kandidaatti- ja maisteriohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);1,00;134,90
Kielitietoisuutta ja monikielisyyttä tukevan opettajankoulutuksen kandidaatti- ja maisteriohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);55,50;76,50
Kielten aineenopettajan kandidaatti- ja maisteriohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);30,00;123,40
Kirjallisuuden kandidaatti- ja maisteriohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);89,00;123,50
Koulutusteknologian kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);82,30;100,70
Kulttuurit ja yhteisöt muuttuvassa maailmassa -kandidaatti- ja maisteriohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);48,00;127,00
Language, Globalization and Intercultural Communication, Master of Arts (2 yrs);?;?
Liikunnan yhteiskuntatieteiden kandidaatti- ja maisteriohjelma, liikuntatieteiden kandidaatti ja maisteri (3 v + 2 v);34,50;118,50
Liikuntabiologian kandidaatti- ja maisteriohjelma, liikuntatieteiden kandidaatti ja maisteri (3 v + 2 v);86,00;132,40
Liikuntapedagogiikan kandidaatti- ja maisteriohjelma, liikuntatieteiden kandidaatti ja maisteri (3 v + 2 v);207,50;273,50
Luokanopettajan aikuiskoulutuksen kandidaatti- ja maisteriohjelma (Kokkolan yliopistokeskus Chydenius), kasvatustieteiden kandidaatti ja maisteri (3 v + 2 v);33,00;40,00
Luokanopettajan ja musiikin aineenopettajan kandidaatti- ja maisteriohjelma, kasvatustieteen kandidaatti ja maisteri tai humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v), syksy 2024;35,00;79,96
Luokanopettajan kandidaatti- ja maisteriohjelma, kasvatustieteen kandidaatti ja maisteri (3 v + 2 v);66,50;99,50
Maisterihaku, aikuisten kielikoulutuksen maisteriohjelma, filosofian maisteri (2 v), syksy 2024;50,00;110,00
Maisterihaku, akvaattisten tieteiden maisteriohjelma, filosofian maisteri (2 v);40,00;50,00
Maisterihaku, ekologian ja evoluutiobiologian maisteriohjelma, filosofian maisteri (2 v);25,00;37,00
Maisterihaku, erityispedagogiikan maisteriohjelma (erityisopettaja), kasvatustieteen maisteri (2 v);49,50;71,50
Maisterihaku, fysiikan maisteriohjelma, filosofian maisteri (2 v);?;?
Maisterihaku, fysioterapian maisteriohjelma, terveystieteiden maisteri (2 v);47,75;61,75
Maisterihaku, gerontologian ja kansanterveyden maisteriohjelma, terveystieteiden maisteri (2 v);41,75;54,50
Maisterihaku, historian maisteriohjelma, filosofian maisteri (2 v);8,00;11,00
Maisterihaku, journalistiikan maisteriohjelma, filosofian maisteri (2 v);31,00;37,00
Maisterihaku, kasvatustieteen ja aikuiskasvatustieteen maisteriohjelma, kasvatustieteen maisteri (2 v);9,00;15,00
Maisterihaku, kauppatieteiden maisteriohjelma, kauppatieteiden maisteri (2 v);53,00;70,00
Maisterihaku, kemian maisteriohjelma, filosofian maisteri (2 v);26,00;30,00
Maisterihaku, kieliasiantuntijan maisteriohjelma, filosofian maisteri (2 v), syksy 2024;50,00;90,00
Maisterihaku, kielten aineenopettajan maisteriohjelma, filosofian maisteri (2 v), syksy 2024;30,00;110,00
Maisterihaku, kirjallisuuden maisteriohjelma, filosofian maisteri (2 v);10,00;14,00
Maisterihaku, kognitiotieteen maisteriohjelma, filosofian maisteri (2 v);22,00;34,00
Maisterihaku, koulutusteknologian maisteriohjelma, filosofian maisteri (2 v);3,30;5,00
Maisterihaku, kulttuurit ja yhteisöt muuttuvassa maailmassa -maisteriohjelma, filosofian maisteri (2 v);7,00;11,00
Maisterihaku, kulttuuriympäristön tutkimuksen maisteriohjelma, filosofian maisteri (2 v);25,00;32,00
Maisterihaku, kyberturvallisuuden maisteriohjelma, filosofian maisteri (2 v);1,00;55,00
Maisterihaku, liikunnan yhteiskuntatieteiden maisteriohjelma, liikuntatieteiden maisteri (2 v);36,50;38,75
Maisterihaku, liikuntabiologian maisteriohjelma, liikuntatieteiden maisteri (2 v);28,00;33,50
Maisterihaku, liikuntalääketieteen maisteriohjelma, terveystieteiden maisteri (2 v);51,00;60,75
Maisterihaku, liikuntapedagogiikan maisteriohjelma (monimuotokoulutus), liikuntatieteiden maisteri (2 v);31,50;36,00
Maisterihaku, liikuntateknologian maisteriohjelma (Vuokatti), liikuntatieteiden maisteri (2 v);13,90;18,05
Maisterihaku, luokanopettajan maisteriohjelma, kasvatustieteen maisteri (2 v);14,00;59,50
Maisterihaku, matematiikan aineenopettajan maisteriohjelma, filosofian maisteri (2 v);?;?
Maisterihaku, matematiikan maisteriohjelma, filosofian maisteri (2 v);?;?
Maisterihaku, museologian maisteriohjelma, filosofian maisteri (2 v);29,00;30,00
Maisterihaku, musiikkikasvatuksen maisteriohjelma, filosofian maisteri (2 v);54,00;75,00
Maisterihaku, musiikkitieteen maisteriohjelma, filosofian maisteri (2 v);?;?
Maisterihaku, ohjausalan maisteriohjelma, kasvatustieteen maisteri (2 v);53,00;80,50
Maisterihaku, solu- ja molekyylibiologian maisteriohjelma, filosofian maisteri (2 v);36,00;50,00
Maisterihaku, sosiaalityön maisteriohjelma (Kokkolan yliopistokeskus Chydenius), yhteiskuntatieteiden maisteri (2 v);15,50;20,00
Maisterihaku, Sosiaalityön maisteriohjelma, Yhteiskuntatieteiden maisteri (2 v);10,67;14,33
Maisterihaku, suomen kielen ja kulttuurin maisteriohjelma, filosofian maisteri (2 v);?;?
Maisterihaku, taidehistorian ja taidekasvatuksen maisteriohjelma, filosofian maisteri (2 v);20,00;33,00
Maisterihaku, taloustieteen maisteriohjelma, kauppatieteiden maisteri (2 v);79,00;99,00
Maisterihaku, terveyden edistämisen maisteriohjelma, terveystieteiden maisteri (2 v);48,75;59,75
Maisterihaku, terveystieteiden opettajankoulutuksen maisteriohjelma (fysioterapia), terveystieteiden maisteri (2 v);72,00;82,00
Maisterihaku, tietojenkäsittelytieteen maisteriohjelma (Kokkolan yliopistokeskus Chydenius), filosofian maisteri (2 v);?;?
Maisterihaku, tietojenkäsittelytieteen maisteriohjelma, filosofian maisteri (2 v);?;?
Maisterihaku, tietojärjestelmätieteen maisteriohjelma, kauppatieteiden maisteri (2 v);77,00;111,00
Maisterihaku, tietotekniikan maisteriohjelma (Kokkolan yliopistokeskus Chydenius), filosofian maisteri (2 v);?;?
Maisterihaku, tietotekniikan maisteriohjelma, filosofian maisteri (2 v);?;?
Maisterihaku, turvallisuus ja strateginen analyysi -maisteriohjelma, filosofian maisteri (2 v);3,83;44,35
Maisterihaku, valmennustieteen maisteriohjelma, liikuntatieteiden maisteri (2 v);37,00;40,00
Maisterihaku, varhaiserityispedagogiikan maisteriohjelma, kasvatustieteen maisteri (2 v);10,00;15,00
Maisterihaku, varhaiskasvatuksen maisteriohjelma, kasvatustieteen maisteri (2 v);1,00;11,00
Maisterihaku, viestinnän maisteriohjelma, filosofian maisteri (2 v);21,00;31,00
Maisterihaku, viittomakielen asiantuntijan maisteriohjelma, filosofian maisteri (2 v);?;?
Maisterihaku, yhteiskuntatieteiden ja filosofian maisteriohjelma, yhteiskuntatieteiden maisteri (2 v);17,00;28,00
Maisterihaku, ympäristötieteen maisteriohjelma, filosofian maisteri (2 v);25,00;45,00
Master's Degree Programme in Corporate Environmental Management, Master of Science in Economics and Business Administration (2 yrs);?;?
Matematiikan aineenopettajan kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);60,80;126,30
Matematiikan kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);1,00;92,90
Matematiikan, kemian tai fysiikan aineenopettajan ja luokanopettajan kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);85,90;106,90
Music and Science, Master of Arts (2 yrs);?;?
Musiikkikasvatuksen kandidaatti- ja maisteriohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);38,90;73,58
Musiikkitieteen kandidaatti- ja maisteriohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);53,00;119,70
Nanoscience, Master of Science (2 yrs);?;?
Nanotieteen monialainen kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);76,60;139,50
Physics, Master of Science (2 yrs);?;?
Psychology of Physical Activity, Health and Wellbeing (2 yrs);?;?
Psykologian kandidaatti- ja maisteriohjelma, psykologian kandidaatti ja maisteri (3 v + 2,5 v);78,50;148,10
Responsible Management and Business of Sport, Master of Science in Economics and Business Administration/Master of Sport Sciences (2 yrs);?;?
Sosiaalityön kandidaatti- ja maisteriohjelma, yhteiskuntatieteiden kandidaatti ja maisteri (3 v + 2 v);33,00;124,80
Suomen kielen ja kirjallisuuden aineenopettajan kandidaatti- ja maisteriohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);50,22;117,40
Taidehistorian ja taidekasvatuksen kandidaatti- ja maisteriohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);74,00;130,60
Taloustieteen kandidaatti- ja maisteriohjelma, kauppatieteiden kandidaatti ja maisteri (3 v + 2 v) (Kauppatieteellisen alan yhteisvalinta);19,45;128,10
Teknologiajohtaminen, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-yhteisvalinta;11,00;83,10
Teknologiajohtamisen DI-ohjelma, diplomi-insinööri (2 v);53,57;79,50
Terveystieteiden kandidaatti- ja maisteriohjelma, terveystieteiden kandidaatti ja maisteri (3 v + 2 v);40,75;132,80
Tieto- ja ohjelmistotekniikan DI-ohjelma, diplomi-insinööri (2 v);65,22;108,20
Tieto- ja ohjelmistotekniikka, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-yhteisvalinta;13,00;98,40
Tietojenkäsittelytieteen kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);1,00;114,00
Tietojärjestelmätieteen kandidaatti- ja maisteriohjelma, kauppatieteiden kandidaatti ja maisteri (3 v+ 2 v);20,10;127,70
Tietotekniikan kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);87,20;110,70
Tilastotieteen ja datatieteen kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);1,00;98,40
Valmennustieteen kandidaatti ja maisteriohjelma, liikuntatieteiden kandidaatti ja maisteri (3 v + 2 v), syksy 2024;83,50;120,20
Varhaiserityispedagogiikan kandidaatti- ja maisteriohjelma (varhaiskasvatuksen erityisopettaja ja erityisopettaja), kasvatustieteen kandidaatti ja maisteri (3 v + 2 v);3,00;8,00
Varhaiskasvatuksen opettajan kandidaattiohjelma ja varhaiskasvatuksen maisteriohjelma, kasvatustieteen kandidaatti ja maisteri (3 v + 2 v);54,00;100,00
Varhaiskasvatuksen opettajan kandidaattiohjelma, kasvatustieteen kandidaatti (3 v), valtakunnallinen monimuotokoulutus varhaiskasvatuksen tehtävissä toimiville;36,50;69,00
Viestinnän kandidaatti- ja maisteriohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);65,00;152,70
Viittomakielen asiantuntijan kandidaatti- ja maisteriohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);73,00;77,00
Yhteiskuntatieteiden ja filosofian kandidaatti- ja maisteriohjelma, yhteiskuntatieteiden kandidaatti ja maisteri (3 v + 2 v);30,00;138,50
Ympäristö- ja vesistötieteiden kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);86,10;113,90
Kaakkois-Suomen ammattikorkeakoulu;;
Artenomi (AMK), restaurointi, päivätoteutus;84,00;89,00
Bachelor of Business Administration, Digital International Business, päivätoteutus;21,05;136,00
Bachelor of Culture and Arts, Game Design, monimuotototeutus;81,00;96,00
Bachelor of Culture and Arts, Game Design, päivätoteutus;83,00;96,00
Bachelor of Engineering, Environmental Engineering, päivätoteutus;26,95;190,00
Bachelor of Engineering, Information Technology, päivätoteutus;33,35;1 490,00
Bachelor of Health Care, Nursing, päivätoteutus, Kotka;54,30;85,20
Bachelor of Health Care, Nursing, päivätoteutus, Savonlinna;16,70;79,65
Dataperustaisten hyvinvointipalvelujen kehittäminen, ylempi AMK, monimuotototeutus;61,22;83,23
Digimarkkinoinnin johtaminen, tradenomi (ylempi AMK), verkkototeutus;4,02;4,80
Ensihoitaja (AMK), monimuotototeutus;82,00;396,07
Fysioterapeutti (AMK), monimuotototeutus;109,00;384,08
Fysioterapeutti (AMK), päivätoteutus;61,00;345,01
Geronomi (AMK), monimuototeutus;67,00;310,18
HR, viestintä ja johtaminen, tradenomi (ylempi AMK), verkkototeutus;4,31;4,86
Insinööri (AMK), Biotuotetekniikka, päivätoteutus;65,00;226,25
Insinööri (AMK), energiatekniikka, päivätoteutus;78,00;287,57
Insinööri (AMK), kehittyvä elintarviketekniikka, päivätoteutus;84,00;222,50
Insinööri (AMK), kyberturvallisuus, päivätoteutus;96,00;341,52
Insinööri (AMK), logistiikka, päivätoteutus;76,00;269,38
Insinööri (AMK), merenkulku, laivatekniikka, päivätoteutus;72,00;290,18
Insinööri (AMK), merenkulku, sähkövoimatekniikka, päivätoteutus;70,00;258,49
Insinööri (AMK), ohjelmistotekniikka, päivätoteutus;81,00;340,97
Insinööri (AMK), peliohjelmointi, päivätoteutus;111,00;325,00
Insinööri (AMK), peliteknologiat, päivätoteutus;75,00;349,85
Insinööri (AMK), Rakennustekniikka, päivätoteutus;60,00;237,33
Insinööri (AMK), rakennustekniikka, teollinen puurakentaminen, päivätoteutus;67,00;203,13
Insinööri (AMK), robotiikka ja tekoäly, päivätoteutus;84,00;325,28
Insinööri (AMK), sähkö- ja automaatiotekniikka, monimuotototeutus;210,00;353,24
Insinööri (AMK), sähkö- ja automaatiotekniikka, päivätoteutus;61,00;247,86
Insinööri (AMK), talotekniikka (LVI), monimuotototeutus;193,65;309,43
Insinööri (AMK), talotekniikka (LVI), päivätoteutus;72,00;249,20
Insinööri (AMK), ympäristöteknologia, monimuotototeutus;163,98;302,68
Insinööri (AMK), ympäristöteknologia, päivätoteutus;86,00;260,90
Jalkaterapeutti (AMK), monimuotototeutus;74,00;332,76
Kestävä rakentaminen ja muotoilu, insinööri (ylempi AMK), verkkototeutus;63,00;78,00
Kestävä rakentaminen ja muotoilu, muotoilija (ylempi AMK), verkkototeutus;64,00;76,00
Kestävän kehityksen teknologiat, insinööri (ylempi AMK), verkkototeutus;49,00;96,00
Kestävän liiketoiminnan kehittäjä, tradenomi (ylempi AMK), verkkototeutus;3,89;4,55
Kyberturvallisuus, insinööri (ylempi AMK), monimuotototeutus;80,00;100,00
Liikunnanohjaaja (AMK), päivätoteutus;60,00;369,78
Logistiikka, insinööri (ylempi AMK), verkkototeutus;84,00;97,00
Master of Business Administration, International Business Management, Kouvola;2,34;600,00
Master of Health Care and Social Services, Rehabilitation, verkkototeutus;66,77;82,26
Matkailu- ja palveluliiketoiminta, Restonomi (ylempi AMK), monimuotototeutus;79,00;100,00
Merikapteeni (AMK), merenkulku, päivätoteutus;170,17;620,84
Metsätalousinsinööri (AMK), monimuotototeutus, Mikkeli;40,00;40,00
Metsätalousinsinööri (AMK), päivätoteutus;67,00;201,04
Muotoilija (AMK), graafinen muotoilu, päivätoteutus;57,00;84,00
Muotoilija (AMK), sisustusarkkitehtuuri ja kalustesuunnittelu, päivätoteutus;53,00;96,00
Muotoilija (ylempi amk), kulttuurihyvinvointi, monimuotototeutus, Kouvola;58,00;90,00
Naprapaatti (AMK), päivätoteutus;61,00;339,85
Nuorisokasvatuksen johtaminen ja kehittäminen, Yhteisöpedagogi (ylempi AMK), monimuotototeutus;72,00;100,00
Palvelumuotoilu, muotoilija (ylempi AMK), monimuotototeutus;78,00;96,00
Projekti- ja myyntijohtaminen, insinööri (ylempi AMK), verkkototeutus;78,00;94,00
Prosessiautomaation projektitoiminta, insinööri (ylempi AMK), monimuotototeutus, Kotka;57,00;95,00
Restonomi (AMK), matkailu- ja palveluliiketoiminta, verkkototeutus;70,00;226,45
Sairaanhoitaja (AMK), monimuotototeutus, Kotka;60,00;371,36
Sairaanhoitaja (AMK), monimuotototeutus, Mikkeli;69,00;353,04
Sairaanhoitaja (AMK), monimuotototeutus, Savonlinna;60,00;354,91
Sosiaali- ja terveysalan ylempi AMK, akuutti hoitotyö, monimuotototeutus;53,75;81,33
Sosiaali- ja terveysalan ylempi AMK, digitaaliset palvelut sosiaali- ja terveysalalla, monimuotototeutus;79,67;94,50
Sosiaali- ja terveysalan ylempi AMK, hyvinvoinnin edistäminen, monimuotototeutus;79,83;89,42
Sosiaali- ja terveysalan ylempi AMK, kriisinkestävä sosiaali- ja terveydenhuolto, verkkototeutus;82,67;91,75
Sosiaali- ja terveysalan ylempi AMK, kulttuurihyvinvointi, monimuotototeutus, Kouvola;61,00;90,00
Sosiaali- ja terveysalan ylempi AMK, mielenterveyshoitotyö, monimuotototeutus;78,08;96,08
Sosiaali- ja terveysalan ylempi AMK, seksuaaliterveyden asiantuntija, monimuotototeutus;81,50;93,67
Sosiaali- ja terveysalan ylempi AMK, sosiaali- ja terveysalan kehittäminen ja johtaminen, monimuotototeutus, Mikkeli;82,67;96,25
Sosiaali- ja terveysalan ylempi AMK, terveyden edistäminen, monimuotototeutus;67,82;86,48
Sosionomi (AMK), kouluhyvinvointi ja kuraattorityö, päivätoteutus, Savonlinna;60,00;314,10
Sosionomi (AMK), monimuotototeutus, Kotka;78,00;437,43
Sosionomi (AMK), monimuotototeutus, Mikkeli;86,00;397,15
Sosionomi (AMK), päivätoteutus, Kotka;75,00;382,16
Sosionomi (AMK), päivätoteutus, Mikkeli;87,00;385,29
Terveydenhoitaja (AMK), monimuotototeutus, Kouvola;68,00;357,37
Terveydenhoitaja (AMK), monimuotototeutus, Mikkeli;60,00;332,69
Tradenomi (AMK), data-analytiikka, verkkototeutus;89,00;267,50
Tradenomi (AMK), hyvinvointiliiketoiminnan johtaminen, monimuotototeutus;66,00;234,38
Tradenomi (AMK), liiketalous, monimuotototeutus;79,00;227,06
Tradenomi (AMK), liiketalous, monimuotototeutus, Mikkeli;76,00;226,23
Tradenomi (AMK), liiketalous, päivätoteutus, Kouvola;62,00;188,75
Tradenomi (AMK), liiketalous, verkkototeutus;67,35;100,00
Tradenomi (AMK), logistiikka, verkkototeutus;98,07;114,08
Tradenomi (AMK), tietojenkäsittely, verkkototeutus;197,24;290,00
Tradenomi (AMK), turvallisuusala, päivätoteutus;65,00;224,56
Yhteisöpedagogi (AMK), nuorisokasvatus ja nuorisotyö, monimuotototeutus;183,55;324,96
Yhteisöpedagogi (AMK), nuorisokasvatus ja nuorisotyö, päivätoteutus;60,00;311,66
Yhteisöpedagogi (AMK), ympäristökasvatus ja yhteisöjen kehittäjä, päivätoteutus;60,00;251,52
Kajaanin ammattikorkeakoulu;;
KAMK Bachelor of Business Administration, Business Information Technology, Game Development (full-time), studies starting autumn 2024;20,55;135,00
KAMK Bachelor of Business Administration, Esports Business (full-time), studies starting autumn 2024;13,75;72,00
KAMK Bachelor of Business Administration, International Business (full-time), studies starting autumn 2024;11,80;174,00
KAMK Bachelor of Hospitality Management, Tourism (full-time), studies starting autumn 2024;15,95;182,00
KAMK Bachelor of Sports Studies, Sports and Leisure Management (full-time), studies starting autumn 2024;38,25;150,00
KAMK Master of Business Administration, Game Business Management, (full-time), studies starting autumn 2024;71,00;79,50
KAMK Master of Business Administration, Game Business Management, (part-time), studies starting autumn 2024;77,50;85,00
KAMK Master of Business Administration, International Business Management,  part-time studies, studies start autumn 2024;61,50;90,00
KAMK Master of Business Administration, Master's Degree in Global Business Management (full time), studies start autumn 2024;55,50;82,50
KAMK, Ensihoitaja (AMK), monimuotototeutus, Kajaani, opinnot alkavat syksyllä 2024;85,00;377,07
KAMK, Insinööri (AMK), Konetekniikka, päivätoteutus, Kajaani;41,00;287,64
KAMK, Insinööri (AMK), Konetekniikka, päivätoteutus, Raahe;38,00;220,33
KAMK, Insinööri (AMK), Rakennus- ja yhdyskuntatekniikka, monimuotototeutus, Kajaani, Raahe ja Kuusamo;47,00;318,08
KAMK, Insinööri (AMK), Rakennus- ja yhdyskuntatekniikka, päivätoteutus, Kajaani;56,00;173,80
KAMK, Insinööri (AMK), Tieto- ja viestintätekniikka, Datasta tekoälyyn, monimuotototeutus;111,00;345,09
KAMK, Insinööri (AMK), Tieto- ja viestintätekniikka, Peliteknologia ja Älykkäät järjestelmät, päivätoteutus;75,00;312,15
KAMK, Insinööri (ylempi AMK), Teknologiaosaamisen johtaminen, monimuotototeutus, KAMK;52,00;83,00
KAMK, Liikunnanohjaaja (AMK), Liikunta ja vapaa-aika, päivätoteutus;65,00;355,00
KAMK, Liikunnanohjaaja (ylempi AMK), Liikunta-alan kehittäminen ja johtaminen, verkkokoulutus, KAMK;58,32;82,49
KAMK, Restonomi (AMK), Matkailu, päivätoteutus;42,00;173,54
KAMK, Restonomi (ylempi AMK), Matkailualan kehittäminen ja johtaminen, verkkokoulutus, KAMK;59,85;69,33
KAMK, Sairaanhoitaja (AMK), monimuotototeutus, Kajaani, opinnot alkavat syksyllä 2024;31,00;305,81
KAMK, Sairaanhoitaja (AMK), monimuotototeutus, Raahe, opinnot alkavat syksyllä 2024;16,25;23,00
KAMK, Sosiaali- ja terveysalan (ylempi AMK), Sosiaali- ja terveysalan kehittäminen ja johtaminen, verkkokoulutus, KAMK;70,16;82,57
KAMK, Sosiaali- ja terveysalan (ylempi AMK), Tiedolla johtaminen sosiaali- ja terveysalan kehittämisessä, verkkokoulutus, KAMK;62,89;80,69
KAMK, Sosionomi (AMK), monimuotototeutus, Kajaani;84,00;375,00
KAMK, Terveydenhoitaja (AMK), monimuotototeutus, KAMK;52,00;305,13
KAMK, Tradenomi (AMK), Liiketalous, monimuotototeutus;79,00;230,29
KAMK, Tradenomi (AMK), Liiketalous, päivätoteutus;34,00;166,04
KAMK, Tradenomi (AMK), Tietojenkäsittely, Datacenter, päivätoteutus;37,00;179,46
KAMK, Tradenomi (AMK), Tietojenkäsittely, Peliala, päivätoteutus, Kajaani;90,00;258,52
KAMK, Tradenomi (ylempi AMK),  Tiedolla johtaminen ja kehittäminen, verkkokoulutus, KAMK;74,35;87,47
KAMK, Tradenomi (ylempi AMK), Tietojenkäsittely ja liiketoimintaosaaminen, verkkokoulutus, KAMK;62,56;81,27
KAMK, Tradenomi (ylempi AMK), Vastuullinen liiketoiminnan kehittäminen ja johtaminen, KAMK;67,96;84,79
Liikunnanohjaaja (AMK), Liikunnan ja vapaa-ajan koulutus, monimuotototeutus, opinnot alkavat tammikuussa 2024 (Taught in Finnish);88,00;400,57
Master's Degree in Global Business Management (full time), studies start spring 2024;62,00;98,00
Restonomi (AMK), Matkailu, monimuotototeutus, Kajaani,  opinnot alkavat tammikuussa 2024 (Taught in Finnish);48,00;161,50
Sairaanhoitaja (AMK), monimuotototeutus, Kajaani, opinnot alkavat tammikuussa 2024 (Taught in Finnish);42,00;310,91
Karelia-ammattikorkeakoulu;;
Bachelor of Business Administration, International Business, päivätoteutus;15,55;1 370,00
Fysioterapeutti (AMK), monimuotototeutus;76,00;369,92
Fysioterapeutti (AMK), päivätoteutus;95,00;382,05
Geronomi (AMK), monimuotototeutus;48,00;300,75
Insinööri (AMK), energia- ja ympäristötekniikka, päivätoteutus;32,00;235,16
Insinööri (AMK), Industrial Management, päivätoteutus;16,60;1 110,00
Insinööri (AMK), Information and Communication Technology;62,26;125,90
Insinööri (AMK), konetekniikka, päivätoteutus;30,25;142,00
Insinööri (AMK), Rakennus- ja yhdyskuntatekniikka, Rakennustekniikka, monimuotototeutus;38,00;164,00
Insinööri (AMK), Rakennus- ja yhdyskuntatekniikka, Rakennustekniikka, päivätoteutus;40,00;133,00
Insinööri (AMK), talotekniikka, päivätoteutus;21,19;142,00
Insinööri (ylempi AMK), Teknologiaosaamisen johtaminen, verkkototeutus, Karelia-ammattikorkeakoulu;37,00;98,00
Insinööri (ylempi AMK), Älykäs tuotanto, verkkototeutus, Karelia-ammattikorkeakoulu;56,00;85,00
Master of Engineering, Sustainability Management;31,00;58,75
Medianomi (AMK), päivätoteutus;63,00;100,00
Medianomi (AMK), Y-akatemia;71,00;95,00
Metsätalousinsinööri (AMK), päivätoteutus;75,00;241,75
Restonomi (AMK), Matkailu- ja palveluliiketoiminta, monimuotototeutus;29,00;168,34
Sairaanhoitaja (AMK), monimuotototeutus;50,00;381,96
Sairaanhoitaja (AMK), päivätoteutus;34,00;367,43
Sosiaali- ja terveysalan ylempi AMK, Ikäosaamisen kehittäminen ja johtaminen, verkkototeutus, Karelia-ammattikorkeakoulu;61,00;99,00
